Ticket (bought) Payout
  1     (90)     34
  8     (63)     24
  18     (92)     35
  19     (98)     38
  26     (5)     2
  30     (91)     35
  32     (98)     38
  37     (77)     29
  45     (94)     36
  47     (26)     10
  50     (59)     23
  52     (49)     19
  54     (57)     22
  69     (13)     5
  70     (22)     8
  74     (31)     12
  75     (86)     33
  77     (29)     11
  85     (28)     11
  94     (19)     7
  96     (42)     16
  4     (57)     0
  6     (12)     0
  9     (26)     0
  12     (88)     0
  15     (80)     0
  16     (94)     0
  17     (1)     0
  20     (5)     0
  22     (34)     0
  25     (99)     0
  29     (94)     0
  33     (20)     0
  34     (95)     0
  35     (53)     0
  36     (15)     0
  38     (32)     0
  42     (97)     0
  56     (99)     0
  66     (64)     0
  67     (73)     0
  68     (74)     0
  71     (34)     0
  82     (41)     0
  83     (5)     0
  86     (80)     0
  87     (86)     0
  88     (79)     0
  92     (89)     0
  99     (19)     0
  0     (26)     12
  3     (95)     43
  21     (55)     25
  28     (16)     7
  41     (83)     38
  46     (9)     4
  49     (78)     36
  51     (49)     22
  53     (77)     35
  57     (20)     9
  58     (12)     5
  62     (43)     20
  64     (43)     20
  65     (84)     38
  76     (82)     38
  84     (76)     35
  91     (15)     7
  93     (20)     9
  98     (66)     30
  2     (8)     0
  5     (25)     0
  7     (21)     0
  10     (47)     1
  11     (81)     1
  13     (7)     0
  14     (59)     1
  23     (80)     1
  24     (89)     1
  27     (41)     1
  31     (31)     0
  39     (96)     2
  40     (50)     1
  43     (11)     0
  44     (57)     1
  48     (87)     1
  55     (22)     0
  59     (33)     1
  60     (95)     1
  61     (35)     1
  63     (68)     1
  72     (10)     0
  73     (97)     2
  78     (23)     0
  79     (90)     1
  80     (81)     1
  81     (24)     0
  89     (44)     1
  90     (27)     0
  95     (64)     1
  97     (60)     1


 Total bought 5326
 Total payout 903
